Party,ALP,LNP,GRN,ON,IND,OTH,,SeatRow,,,,
Index,1,2,3,4,5,6,,51.0,,,,
,,,,,,,,,,,,
ALP,,0,0,0,0,0,,,,,,
LNP,0,,0,0,0,0,,,,,,
GRN,0.8512506212,0.1487493788,,0,0,0,,,,,,
ON,0.0716003206,0.5987176062,0.0705316591,,0.2591504141,0,,,,,,
IND,0.36272838,0.2313032887,0.4059683313,0,,0,,,,,,
OTH,0.1096914176,0.2707328833,0.1031822565,0.3825940212,0.1337994214,,,,,,,
,,,,,,,,,,,,
Primary votes,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,
,,,,,,,,,,,,
Round 1,,,,,,,,,,,,
,First pref,,Active,Elim,,,,,,,,
ALP,1,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,
LNP,1,#REF!,#REF!,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
GRN,1,#REF!,#REF!,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
ON,1,#REF!,#REF!,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
IND,1,#REF!,#REF!,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
OTH,1,#REF!,#REF!,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
