Party,Finalist?,Primary,ALP,LNP,GRN,ON,IND,OTH,,ALP,LNP,GRN,ON,IND,OTH
ALP,True,0.3167621254,1,0,0,0,0,0,,,,,,,
LNP,True,0.2644011252,0,1,0,0,0,0,,,,,,,
GRN,True,0.146769454,0,0,1,0,0,0,,,,,,,
ON,False,0.1813566231,0.0716003206,0.5987176062,0.0705316591,,0.2591504141,,,0.0716003206,0.5987176062,0.0705316591,,0.2591504141,
IND,False,0.0566,0.36272838,0.2313032887,0.4059683313,,,,,0.36272838,0.2313032887,0.4059683313,,,
OTH,False,0.04477409134,0.1096914176,0.2707328833,0.1031822565,0.3825940212,0.1337994214,,,0.1096914176,0.2707328833,0.1031822565,0.3825940212,0.1337994214,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
3CP,,,,,,,,,,,,,,,
ALP,0.3551890776,,,,,,,,,,,,,,
LNP,0.3981961134,,,,,,,,,,,,,,
GRN,0.1871585368,,,,,,,,,,,,,,
,0.9405437278,,,,,,,,,,,,,,
