% of votes received from exclusion of first preference One Nation votes and ballots distributed to One Nation by candidates finishing below One Nation (Fifth place),
Labor,0.07
Liberal,0.6
Green,0.07
Independent,0.25
,
% of two candidate preferred votes received from One Nation first preference votes,
Labor,0.18
Liberal,0.82
,
% of votes received from exclusion of fiirst preference Independent votes and ballots distributed to Independent by candidates finishing below Independent (Fourth place),
Labor,0.36
Liberal,0.23
Green,0.4
,
% of two candidate preferred votes received from Independent first preference votes,
Labor,0.76
Liberal,0.24
,
% of votes received from exclusion of first preference OTHER votes and ballots distributed to OTHER by candidates finishing below OTHER (Sixth place),
Labor,0.11
Liberal,0.27
Green,0.1032
One Nation,0.38
Independent,0.13
,
% of two candidate preferred votes received from OTHER first preference votes,
Labor,0.27
Liberal,0.73
