sheet_name,csv_file,rows,cols
Checklist,Checklist.csv,14,55
Classification,Classification.csv,151,5
SEAT_HELPER,SEAT_HELPER.csv,151,10
PENDULUM (25-28),PENDULUM_25-28.csv,97,11
"ELECTION CALC (2PP, 2028)",ELECTION_CALC_2PP_2028.csv,277,19
PREF FLOWS,PREF_FLOWS.csv,23,6
PVI CALC,PVI_CALC.csv,326,9
CALC NOTES,CALC_NOTES.csv,58,24
CALC NOTES (LNPvIND),CALC_NOTES_LNPvIND.csv,25,48
IRV CHECKLIST,IRV_CHECKLIST.csv,1,10
IRV_MC,IRV_MC.csv,16,14
SEAT_PROBS (2CP),SEAT_PROBS_2CP.csv,4,7
SEAT_PROBS (3CP),SEAT_PROBS_3CP.csv,155,31
SEAT_METADATA,SEAT_METADATA.csv,151,8
PARAMS,PARAMS.csv,53,13
BASELINE_PRIMARY_BY_STATE,BASELINE_PRIMARY_BY_STATE.csv,10,25
BASELINE_RESULTS_BY_SEAT,BASELINE_RESULTS_BY_SEAT.csv,150,26
BASELINE_SEATS_BY_STATE,BASELINE_SEATS_BY_STATE.csv,10,7
PARTISAN_VOTE_INDEX,PARTISAN_VOTE_INDEX.csv,150,8
PRIMARY_EFFECTIVE,PRIMARY_EFFECTIVE.csv,163,43
IDEOLOGY,IDEOLOGY.csv,7,7
SIPHON,SIPHON.csv,5,7
SIPHON_LEARNED,SIPHON_LEARNED.csv,18,11
PRIMARY ELECTION MODEL,PRIMARY_ELECTION_MODEL.csv,640,81
Proj 2CP,Proj_2CP.csv,151,7
CALIBRATION PARAMS,CALIBRATION_PARAMS.csv,4,4
PRIMARY ELECTION MODEL (DETAILE,PRIMARY_ELECTION_MODEL_DETAILE.csv,101,99
IRV MODEL (NSW),IRV_MODEL_NSW.csv,109,377
IRV MODEL (VIC),IRV_MODEL_VIC.csv,136,323
IRV MODEL (QLD),IRV_MODEL_QLD.csv,118,242
Copy of IRV MODEL (QLD),Copy_of_IRV_MODEL_QLD.csv,43,26
Copy of PRIMARY ELECTION MODEL ,Copy_of_PRIMARY_ELECTION_MODEL.csv,290,129
Sheet33,Sheet33.csv,290,129
Sheet34,Sheet34.csv,290,129
Copy of PRIMARY ELECTION MODEL,Copy_of_PRIMARY_ELECTION_MODEL.csv,290,129
Copy of MATRIX,Copy_of_MATRIX.csv,14,16
3CP MATRIX,3CP_MATRIX.csv,21,13
Copy of 3CP MATRIX,Copy_of_3CP_MATRIX.csv,25,9
IRV MODEL (NON-FALLBACK),IRV_MODEL_NON-FALLBACK.csv,21,52
IRV MODEL (WA),IRV_MODEL_WA.csv,109,188
IRV MODEL (SA),IRV_MODEL_SA.csv,109,107
IRV MODEL (TAS),IRV_MODEL_TAS.csv,109,53
IRV MODEL (ACT),IRV_MODEL_ACT.csv,109,80
IRV MODEL (NT),IRV_MODEL_NT.csv,109,53
PREF MATRIX (NSW),PREF_MATRIX_NSW.csv,479,44
PREF MATRIX (VIC),PREF_MATRIX_VIC.csv,389,44
PREF MATRIX (QLD),PREF_MATRIX_QLD.csv,309,44
PREF MATRIX (WA),PREF_MATRIX_WA.csv,240,44
PREF MATRIX (SA),PREF_MATRIX_SA.csv,109,44
PREF MATRIX (TAS),PREF_MATRIX_TAS.csv,59,44
PREF MATRIX (ACT),PREF_MATRIX_ACT.csv,39,44
PREF MATRIX (NT),PREF_MATRIX_NT.csv,29,44
SEAT PREF FLOWS,SEAT_PREF_FLOWS.csv,167,92
TRANSFORM_DEBUG,TRANSFORM_DEBUG.csv,0,0
SEAT_PREF_FLOWS_LONG,SEAT_PREF_FLOWS_LONG.csv,1940,7
PRIMARY_2CP,PRIMARY_2CP.csv,594,8
Sheet30,Sheet30.csv,16,3
SCENARIO_AVGS,SCENARIO_AVGS.csv,121,9
SCENARIO_AVGS_BY_CLASS,SCENARIO_AVGS_BY_CLASS.csv,296,9
SCENARIO_AVGS_ALL,SCENARIO_AVGS_ALL.csv,0,0
DEBUG_HEADERS,DEBUG_HEADERS.csv,0,0
SCENARIO_STATS,SCENARIO_STATS.csv,133,7
SEAT_PREF_FLOWSS,SEAT_PREF_FLOWSS.csv,152,43
Sheet25,Sheet25.csv,3,30
SEAT 2PP FLOWS,SEAT_2PP_FLOWS.csv,164,30
LNP_PREFS_ALP_ON,LNP_PREFS_ALP_ON.csv,3,4
Sheet15,Sheet15.csv,154,96
PARTY_NAMES,PARTY_NAMES.csv,8,7
Copy of SEAT PREF FLOWS,Copy_of_SEAT_PREF_FLOWS.csv,165,176
3CP ESTIMATES,3CP_ESTIMATES.csv,170,38
Copy of 3CP ESTIMATES,Copy_of_3CP_ESTIMATES.csv,170,38
PRIMARY PVI CALC,PRIMARY_PVI_CALC.csv,163,46
EXCLUSIONS,EXCLUSIONS.csv,163,43
LOGIT_PVI,LOGIT_PVI.csv,163,43
Sheet12,Sheet12.csv,29,2
Copy of CALC NOTES (LNPvIND),Copy_of_CALC_NOTES_LNPvIND.csv,25,39
Sheet7_conflict1042019223,Sheet7_conflict1042019223.csv,46,31
DATA,DATA.csv,47,74
AUS,AUS.csv,42,185
NSW,NSW.csv,52,282
VIC,VIC.csv,44,376
VICN,VICN.csv,43,376
QLD,QLD.csv,35,338
WA,WA.csv,22,364
SA,SA.csv,16,359
TAS,TAS.csv,10,259
ACT,ACT.csv,8,262
NT,NT.csv,7,220
VOICE,VOICE.csv,155,20
Copy of ELECTION CALC (2PP),Copy_of_ELECTION_CALC_2PP.csv,146,19
DEMOS MRP,DEMOS_MRP.csv,50,16
